0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
7.841077,33657000.0,1.605123,12.425096030729833,2214000.0,35763000.0,7.605123,30.550407823722523,24921000.0,11649527.23076923,5884500.0,213340.0,35763000.0,12296107.062897779,12668500.0,33262800.0,16938291.9328567,1.1049540997362162,-0.5642657984617778,0.18448,17881500.0,0.746823
7.859098,33939000.0,1.624501,12.467217920709373,2257000.0,36045000.0,7.624501,30.248997191443266,24907000.0,11759609.153846154,6012000.0,218140.0,36045000.0,12327397.443020912,12933500.0,33545200.0,17036817.04924429,1.1076941009891814,-0.544681952391239,0.697003,18022500.0,0.7406010000000001
7.856414,35306000.0,1.617809,11.970118343195267,2238000.0,37427000.0,7.617808,30.531906503716115,26285000.0,12066449.846153846,5878300.0,218650.0,37427000.0,12970273.07085226,12783500.0,34908700.0,17715168.512385692,1.1140247173050453,-0.5559947107598666,7.117808,18713500.0,0.759509
7.866941,32701000.0,1.377731,11.864061994434735,2111000.0,34719000.0,7.377731,30.38576519205678,24507000.0,11240375.736434108,5512500.0,204800.0,34719000.0,12077115.965055421,11924000.0,32450800.0,16498568.929747004,1.1136909726536874,-0.5618462848683379,0.179378,17359500.0,0.743831
7.811311,35186000.0,1.56811,12.19930090223184,2225000.0,37254000.0,7.56811,29.74781389482257,26226000.0,11878486.124031007,5854200.0,223370.0,37254000.0,12857204.727139458,12457000.0,34790000.0,17504460.745603517,1.1478283461569894,-0.4820902453241467,0.658308,18627000.0,0.70981
7.868844,36189000.0,1.37904,11.15401146131805,2172000.0,38166000.0,7.12904,30.34906906272927,26736000.0,12208417.441860465,5708700.0,211710.0,38166000.0,13459123.6892041,12664000.0,35894200.0,18171226.345957443,1.124982316224666,-0.5540011733399344,0.17955,19083000.0,0.7451399999999999
7.841715,32447000.0,1.351999,11.723214285714278,2157000.0,34386000.0,7.351999,30.543071645377154,23660000.0,11276781.692307692,5738500.0,213840.0,34386000.0,11841365.149758844,12091750.0,32097300.0,16351872.490509741,1.101584253437038,-0.5680440608198216,7.101999,17193000.0,0.743699
7.860618,33339000.0,1.621345,12.238907806864603,2165000.0,35306000.0,7.621345,30.539411487532377,24658000.0,11491314.806201551,5731500.0,215140.0,35306000.0,12212876.623415135,12272000.0,32962800.0,16769158.338866828,1.1023447540836766,-0.5826134398577523,0.177916,17653000.0,0.763045
7.822516,33578000.0,1.579223,12.175137839120751,2162000.0,35568000.0,7.579223,29.748712879521534,24934000.0,11410193.59375,5665850.0,216890.0,35568000.0,12280455.821699584,12054000.0,33211200.0,16763117.640688702,1.1388899913827752,-0.5050935606710594,7.822516,17784000.0,0.720923
7.815979,33132000.0,1.322911,11.096492586786937,2113000.0,35110000.0,7.072911,29.73302892464997,24210000.0,11283467.890625,5598050.0,266770.0,35110000.0,12147771.115707466,11919750.0,32811500.0,16579655.928829826,1.1395505275602766,-0.5025169305356285,0.165361,17555000.0,0.714611
7.868323,32665000.0,1.379631,11.077850653090806,2148000.0,34650000.0,7.129631,30.36269052970775,23685000.0,11342133.643410852,5677500.0,211760.0,34650000.0,12017092.404968185,12166000.0,32382000.0,16524360.969627129,1.1058412529285597,-0.5685948558329166,0.179869,17325000.0,0.7457309999999999
7.825079,35467000.0,1.330362,11.096120517264367,2128000.0,37406000.0,7.080362,29.72652950599364,26329000.0,11798421.25,5538300.0,209890.0,37406000.0,13116515.678369125,12062500.0,35135000.0,17642157.677941628,1.154431348119225,-0.4904597394234895,0.67066,18703000.0,0.722062
7.837906,35014000.0,1.600325,12.384454490985348,2286000.0,37148000.0,7.600326,30.539769547650124,25759000.0,12084537.692307692,6069250.0,223550.0,37148000.0,12786829.168153185,13024000.0,34608300.0,17593721.93176698,1.1064317804092136,-0.5639406948807477,0.680968,18574000.0,0.7420249999999999
7.837749,33100000.0,1.351443,11.374710139245181,2303000.0,35296000.0,7.101443,30.54026814322401,23584000.0,11678373.538461538,6109050.0,223620.0,35296000.0,12052578.866008326,12866250.0,32778900.0,16782403.45794336,1.0919952619287152,-0.5738649955410722,7.101443,17648000.0,0.743143
7.87462,33036000.0,1.387513,11.188925006339758,2217000.0,35092000.0,7.387513,30.37854645842036,23918000.0,11510444.076923076,5845600.0,215790.0,35092000.0,12106282.850113166,12450000.0,32784700.0,16704861.786166256,1.1060121668341627,-0.5545351656408974,0.180056,17546000.0,0.7536130000000001
7.843637,36165000.0,1.606421,12.398338064279827,2297000.0,38280000.0,7.606421,30.535554746753107,26692000.0,12368841.384615384,6079500.0,223570.0,38280000.0,13250878.365855588,13225250.0,35763000.0,18126610.677798368,1.112514985240863,-0.5592105464956827,0.693253,19140000.0,0.748121
8.316435,34862000.0,1.376412,11.071988382170389,2363000.0,36945000.0,7.126412,31.12980841326332,36531630.0,11979477.48091603,6038800.0,224480.0,36945000.0,12728933.887540229,13167000.0,34502000.0,17479520.54917824,1.1183005373039718,-0.5200159934789896,0.717012,18472500.0,0.7425120000000001
7.860448,32938000.0,1.626473,12.340869047619037,2247000.0,35092000.0,7.626472,30.257161544411062,24207000.0,11492811.307692308,5950550.0,216360.0,35092000.0,11954786.163111884,12726750.0,32539600.0,16583172.915939566,1.1040965388426405,-0.5461561903333072,0.717073,17546000.0,0.7425729999999999
7.826597,31548000.0,1.339462,11.222813721486489,2273000.0,33748000.0,7.089462,29.740362207916533,22287000.0,11093179.68992248,5910400.0,222100.0,33748000.0,11429995.361647783,12371000.0,31239600.0,15928070.49206521,1.1190828301810585,-0.5038868819834863,0.167556,16874000.0,0.7311620000000001
7.843316,33910000.0,1.606586,12.223450147835777,2261000.0,36075000.0,7.606586,30.545584739077,25037000.0,11773495.846153846,5978650.0,218840.0,36075000.0,12381228.164565083,12790250.0,33501800.0,17085374.309696045,1.1032818505129394,-0.5649568145657402,0.686804,18037500.0,0.748286
7.842515,31621000.0,1.359203,11.357486063489844,2338000.0,33945000.0,7.109203,30.53816907101573,22134000.0,11345879.3129771,6146300.0,222220.0,33945000.0,11437016.9709615,12759500.0,31281000.0,16110069.353627969,1.0818216003178684,-0.5674668246542898,0.699703,16972500.0,0.750903
